comment,label,race,religion,gender,sexual_orientation,miscellaneous
Stop treating Disability like second-class citizens.,offensive,Brazil,Muslim,Non-binary,Heterosexual,Disability
I can't believe people from China still think like this.,hate speech,China,Jewish,Male,Bisexual,Minority
I can't believe people from Brazil still think like this.,offensive,Brazil,Hindu,Non-binary,Other,Minority
"This is just a normal opinion, nothing normal about it.",normal,Nigeria,None,Male,Bisexual,Other
Non-binary deserve equal treatment.,offensive,UK,Hindu,Non-binary,Other,Minority
Stop treating Refugee like second-class citizens.,offensive,Nigeria,Hindu,Male,Bisexual,Refugee
Heterosexual rights are human rights!,normal,Brazil,Muslim,Female,Heterosexual,Other
I can't believe people from Brazil still think like this.,offensive,Brazil,Christian,Female,Homosexual,None
Homosexual rights are human rights!,normal,China,Buddhist,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,None,Non-binary,Homosexual,Disability
This is such a hateful thing to say about Christian people.,offensive,Germany,Christian,Female,Heterosexual,Refugee
"You are being so hate speech, please stop.",hate speech,USA,Hindu,Female,Homosexual,None
Why are Male always blamed?,normal,Germany,Hindu,Male,Homosexual,None
Attacking someone's Hindu is never okay.,offensive,China,Hindu,Non-binary,Bisexual,Disability
Homosexual rights are human rights!,hate speech,India,Muslim,Female,Homosexual,Minority
This is such a hateful thing to say about Buddhist people.,offensive,Germany,Buddhist,Non-binary,Other,Disability
This is such a hateful thing to say about Christian people.,normal,Brazil,Christian,Male,Homosexual,Disability
I can't believe people from Germany still think like this.,hate speech,Germany,Muslim,Female,Other,Other
Homosexual rights are human rights!,normal,China,Christian,Male,Homosexual,Disability
China culture is so rich and beautiful.,hate speech,China,Muslim,Non-binary,Other,Minority
Heterosexual rights are human rights!,offensive,Germany,None,Male,Heterosexual,Other
Non-binary deserve equal treatment.,normal,Germany,Muslim,Non-binary,Bisexual,None
Stop treating Other like second-class citizens.,hate speech,Germany,Hindu,Non-binary,Homosexual,Other
Attacking someone's Buddhist is never okay.,offensive,Brazil,Buddhist,Female,Other,Other
Bisexual rights are human rights!,normal,Russia,None,Male,Bisexual,Other
Why are Male always blamed?,normal,Russia,Sikh,Male,Heterosexual,None
Attacking someone's Hindu is never okay.,offensive,Nigeria,Hindu,Non-binary,Bisexual,Disability
Stop treating None like second-class citizens.,normal,USA,Buddhist,Male,Heterosexual,None
I can't believe people from Brazil still think like this.,offensive,Brazil,Buddhist,Non-binary,Homosexual,Refugee
I can't believe people from Brazil still think like this.,hate speech,Brazil,Jewish,Non-binary,Bisexual,Disability
Attacking someone's Buddhist is never okay.,hate speech,Nigeria,Buddhist,Female,Heterosexual,Disability
Why are Male always blamed?,normal,USA,Hindu,Male,Heterosexual,Refugee
This is such a hateful thing to say about Jewish people.,normal,Brazil,Jewish,Female,Heterosexual,Minority
Why are Female always blamed?,offensive,China,Hindu,Female,Other,Other
Attacking someone's Christian is never okay.,normal,UK,Christian,Male,Homosexual,Other
Male deserve equal treatment.,offensive,Brazil,Jewish,Male,Bisexual,Refugee
Bisexual rights are human rights!,normal,UK,Sikh,Male,Bisexual,Refugee
This is such a hateful thing to say about Sikh people.,offensive,Brazil,Sikh,Female,Heterosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,Christian,Female,Heterosexual,None
UK culture is so rich and beautiful.,offensive,UK,Christian,Non-binary,Homosexual,Minority
This is such a hateful thing to say about Jewish people.,normal,Brazil,Jewish,Non-binary,Homosexual,Minority
Non-binary deserve equal treatment.,normal,UK,Hindu,Non-binary,Bisexual,Other
"You are being so offensive, please stop.",offensive,China,Hindu,Female,Heterosexual,Other
Heterosexual rights are human rights!,offensive,Russia,None,Male,Heterosexual,Other
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Muslim,Female,Homosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Hindu,Male,Other,Other
Nigeria culture is so rich and beautiful.,normal,Nigeria,Sikh,Female,Heterosexual,Minority
China culture is so rich and beautiful.,hate speech,China,Christian,Non-binary,Homosexual,Minority
Why are Non-binary always blamed?,hate speech,Russia,Muslim,Non-binary,Homosexual,None
This is such a hateful thing to say about Jewish people.,offensive,Nigeria,Jewish,Male,Bisexual,None
I can't believe people from Germany still think like this.,offensive,Germany,None,Female,Other,Refugee
Attacking someone's Hindu is never okay.,hate speech,India,Hindu,Female,Other,Disability
This is such a hateful thing to say about Jewish people.,hate speech,USA,Jewish,Male,Other,None
"You are being so hate speech, please stop.",hate speech,Brazil,None,Female,Heterosexual,Minority
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Hindu,Female,Homosexual,Refugee
Heterosexual rights are human rights!,normal,USA,Christian,Male,Heterosexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Buddhist,Male,Heterosexual,None
"You are being so normal, please stop.",normal,Russia,Buddhist,Non-binary,Bisexual,Minority
China culture is so rich and beautiful.,normal,China,Buddhist,Male,Other,Refugee
I can't believe people from Germany still think like this.,offensive,Germany,Christian,Non-binary,Heterosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Christian,Male,Homosexual,Other
I can't believe people from USA still think like this.,normal,USA,Sikh,Non-binary,Heterosexual,Other
This is such a hateful thing to say about Christian people.,normal,Brazil,Christian,Non-binary,Homosexual,None
Non-binary deserve equal treatment.,offensive,Brazil,Hindu,Non-binary,Other,Disability
Bisexual rights are human rights!,hate speech,Germany,Buddhist,Non-binary,Bisexual,Refugee
Stop treating Refugee like second-class citizens.,normal,Brazil,Sikh,Male,Other,Refugee
"You are being so hate speech, please stop.",hate speech,UK,Muslim,Male,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Christian,Female,Homosexual,Refugee
Homosexual rights are human rights!,normal,USA,Sikh,Male,Homosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,None,Female,Heterosexual,Minority
Why are Male always blamed?,normal,China,Sikh,Male,Heterosexual,Disability
Brazil culture is so rich and beautiful.,normal,Brazil,Hindu,Female,Other,Refugee
This is such a hateful thing to say about Christian people.,normal,Nigeria,Christian,Non-binary,Heterosexual,Disability
This is such a hateful thing to say about Sikh people.,hate speech,UK,Sikh,Female,Heterosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,Christian,Male,Heterosexual,Refugee
Stop treating Minority like second-class citizens.,normal,Nigeria,Jewish,Non-binary,Other,Minority
Female deserve equal treatment.,normal,China,Christian,Female,Other,None
"You are being so offensive, please stop.",offensive,China,Sikh,Female,Heterosexual,Refugee
I can't believe people from Nigeria still think like this.,normal,Nigeria,Buddhist,Non-binary,Homosexual,None
Heterosexual rights are human rights!,normal,India,Jewish,Female,Heterosexual,Other
Attacking someone's Christian is never okay.,normal,Russia,Christian,Non-binary,Heterosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,India,None,Male,Homosexual,Refugee
"You are being so offensive, please stop.",offensive,UK,Christian,Non-binary,Heterosexual,Other
"You are being so offensive, please stop.",offensive,Nigeria,Buddhist,Male,Heterosexual,Disability
"You are being so offensive, please stop.",offensive,Nigeria,Muslim,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,UK,Sikh,Female,Homosexual,Refugee
Non-binary deserve equal treatment.,offensive,Nigeria,None,Non-binary,Heterosexual,Refugee
India culture is so rich and beautiful.,offensive,India,Sikh,Male,Homosexual,Disability
Bisexual rights are human rights!,normal,UK,Jewish,Non-binary,Bisexual,None
Non-binary deserve equal treatment.,offensive,Nigeria,Buddhist,Non-binary,Bisexual,None
Non-binary deserve equal treatment.,offensive,India,Hindu,Non-binary,Other,Minority
"You are being so hate speech, please stop.",hate speech,USA,Hindu,Male,Other,Refugee
This is such a hateful thing to say about None people.,offensive,Nigeria,None,Female,Homosexual,None
Attacking someone's Sikh is never okay.,normal,Brazil,Sikh,Male,Heterosexual,Minority
Other rights are human rights!,normal,Germany,Sikh,Female,Other,None
This is such a hateful thing to say about Sikh people.,offensive,UK,Sikh,Male,Homosexual,Refugee
Attacking someone's Christian is never okay.,hate speech,Nigeria,Christian,Male,Heterosexual,Disability
Attacking someone's Sikh is never okay.,normal,Germany,Sikh,Male,Homosexual,Minority
I can't believe people from India still think like this.,normal,India,Jewish,Female,Bisexual,Minority
Female deserve equal treatment.,hate speech,Germany,Jewish,Female,Homosexual,Minority
"You are being so offensive, please stop.",offensive,China,Muslim,Male,Homosexual,Other
Attacking someone's Hindu is never okay.,normal,Russia,Hindu,Female,Heterosexual,Disability
This is such a hateful thing to say about Buddhist people.,offensive,Germany,Buddhist,Non-binary,Bisexual,None
Stop treating Disability like second-class citizens.,normal,Russia,Christian,Female,Other,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Hindu,Non-binary,Heterosexual,Refugee
Stop treating Minority like second-class citizens.,offensive,India,Muslim,Male,Other,Minority
Russia culture is so rich and beautiful.,offensive,Russia,Buddhist,Male,Other,Disability
I can't believe people from Russia still think like this.,normal,Russia,Buddhist,Female,Homosexual,Refugee
Why are Non-binary always blamed?,normal,India,Sikh,Non-binary,Bisexual,None
USA culture is so rich and beautiful.,normal,USA,Sikh,Female,Homosexual,Disability
I can't believe people from USA still think like this.,hate speech,USA,Jewish,Male,Heterosexual,Refugee
Homosexual rights are human rights!,hate speech,Brazil,Jewish,Non-binary,Homosexual,Other
Stop treating Other like second-class citizens.,hate speech,UK,Hindu,Female,Other,Other
Why are Female always blamed?,hate speech,Nigeria,Hindu,Female,Bisexual,Refugee
Brazil culture is so rich and beautiful.,offensive,Brazil,Jewish,Male,Bisexual,Other
Stop treating Minority like second-class citizens.,offensive,Russia,Sikh,Female,Homosexual,Minority
Stop treating Refugee like second-class citizens.,hate speech,UK,Jewish,Female,Heterosexual,Refugee
USA culture is so rich and beautiful.,offensive,USA,Hindu,Female,Homosexual,Refugee
Stop treating Other like second-class citizens.,offensive,Russia,Buddhist,Female,Homosexual,Other
Attacking someone's Jewish is never okay.,hate speech,India,Jewish,Male,Bisexual,None
"This is just a normal opinion, nothing normal about it.",normal,USA,Sikh,Male,Other,Minority
"You are being so hate speech, please stop.",hate speech,China,Muslim,Male,Bisexual,Disability
Homosexual rights are human rights!,normal,India,None,Female,Homosexual,Minority
This is such a hateful thing to say about Sikh people.,normal,Russia,Sikh,Non-binary,Homosexual,Refugee
Stop treating None like second-class citizens.,normal,Russia,Hindu,Female,Bisexual,None
Female deserve equal treatment.,hate speech,India,Hindu,Female,Other,Other
Stop treating Disability like second-class citizens.,hate speech,USA,None,Non-binary,Heterosexual,Disability
Male deserve equal treatment.,hate speech,Nigeria,Sikh,Male,Other,None
UK culture is so rich and beautiful.,normal,UK,None,Female,Bisexual,Other
Male deserve equal treatment.,hate speech,Nigeria,Sikh,Male,Homosexual,Other
Germany culture is so rich and beautiful.,hate speech,Germany,Christian,Male,Bisexual,Minority
China culture is so rich and beautiful.,normal,China,Buddhist,Female,Other,Other
Attacking someone's Christian is never okay.,hate speech,China,Christian,Male,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Christian,Female,Bisexual,Minority
Why are Female always blamed?,offensive,China,Jewish,Female,Bisexual,Disability
This is such a hateful thing to say about Sikh people.,hate speech,India,Sikh,Non-binary,Bisexual,None
